Thruster 7 Notes														
														
Thruster 8 Serial Number														
Thruster 8 Location														
Thruster 8 Group ID														
Thruster 8 Node ID														
Thruster 8 Application ID														
Thruster 8 Propeller														
Thruster 8 Reverse														
Thruster 8 Max Power														
Thruster 8 Notes														
														
Thruster 9 Serial Number														
Thruster 9 Location														
Thruster 9 Group ID														
Thruster 9 Node ID														
Thruster 9 Application ID														
Thruster 9 Propeller														
Thruster 9 Reverse														
Thruster 9 Max Power														
Thruster 9 Notes														
														
Thruster 10 Serial Number														
Thruster 10 Location														
Thruster 10 Group ID														
Thruster 10 Node ID														
Thruster 10 Application ID														
Thruster 10 Propeller														
Thruster 10 Reverse														
Thruster 10 Max Power														
Thruster 10 Notes														
														
Thruster 11 Serial Number														
Thruster 11 Location														
Thruster 11 Group ID														
Thruster 11 Node ID														
Thruster 11 Application ID														
Thruster 11 Propeller														
Thruster 11 Reverse														
Thruster 11 Max Power														
Thruster 11 Notes														
														
Thruster 12 Serial Number														
Thruster 12 Location														
Thruster 12 Group ID														
Thruster 12 Node ID														
Thruster 12 Application ID														
Thruster 12 Propeller														
Thruster 12 Reverse														
Thruster 12 Max Power														
Thruster 12 Notes														
														
Camera 1 Type	hd	hd	hd	hd	hd	hd	hd	hd	hd	hd	hd	hd	hd	hd
Camera 1 Serial Number														
Camera 1 Location	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center	Forward Center
Camera 1 Group ID	196	196	196	196	196	196	196	196	196	196	196	196	196	196
Camera 1 Node ID	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Camera 1 TCP/IP	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11	192.168.1.11
Camera 1 Notes														
														
Camera 2 Type								low_light	low_light					
Camera 2 Serial Number														
Camera 2 Location								Forward Bottom	Forward Bottom					
Camera 2 Group ID								196	196					
Camera 2 Node ID								12	12					
Camera 2 TCP/IP								192.168.1.13	192.168.1.13					
Camera 2 Notes														
														
Camera 3 Type														
Camera 3 Serial Number														
Camera 3 Location														
Camera 3 Group ID														
Camera 3 Node ID														
Camera 3 TCP/IP														
Camera 3 Notes														
														
Camera 4 Type														
Camera 4 Serial Number														
Camera 4 Location														
Camera 4 Group ID														
Camera 4 Node ID														
Camera 4 TCP/IP														
Camera 4 Notes														
														
Light 1 Type	Spot-Wide	Spot-Wide	Spot-Wide	alpha	alpha	alpha	alpha	alpha	Spot-Wide	alpha	alpha	alpha	alpha	alpha
Light 1 Serial Number														
Light 1 Location	Forward Top Port	Forward Top Port	Forward Top Port	Forward Center Top	Forward Center Top	Forward Center Top	Forward Center Top	Forward Center Top	Forward Top Port	Forward Center Top	Forward Center Top	Forward Center Top	Forward Center Top	Forward Center Top
Light 1 Group ID	131	131	131	131	131	131	131	131	131	131	131	131	131	131
Light 1 Node ID	11	11	11	11	11	11	11	11	11	11	11	11	11	11
Light 1 Application ID														
Light 1 Notes														
														
Light 2 Type	Spot-Wide	Spot-Wide	Spot-Wide						Spot-Wide					
Light 2 Serial Number														
Light 2 Location	Forward Top Starboard	Forward Top Starboard	Forward Top Starboard						Forward Top Starboard					
Light 2 Group ID	131	131	131						131					
Light 2 Node ID	12	12	12						12					
Light 2 Application ID														
Light 2 Notes														
														
Light 3 Type														
Light 3 Serial Number														
Light 3 Location														
Light 3 Group ID														
Light 4 Node ID														
Light 3 Application ID														
Light 3 Notes														
														
Light 4 Type														
Light 4 Serial Number														
Light 4 Location														
Light 4 Group ID														
Light 4 Node ID														
Light 4 Application ID														
Lights 4 Notes														
														
Light 5 Type														
Light 5 Serial Number														
Light 5 Location														
Light 5 Group ID														
Light 5 Node ID														
Light 5 Application ID														
Light 5 Notes														
														
Light 6 Type														
Light 6 Serial Number														
Light 6 Location														
Light 6 Group ID														
Light 6 Node ID														
Light 6 Application ID														
Light 6 Notes														
														
Device 1 Type	AHRSD	AHRSD	AHRSD					High Definition Camera	High Definition Camera					
Device 1 Serial Number														
Device 1 Port	5	2	2											
Device 1 TCP/IP Port														
Device 1 RS-485														
														
Device 2 Type	High Definition Camera	High Definition Camera	High Definition Camera					Rotating Manipulator	Rotating Manipulator					
Device 2 Serial Number														
Device 2 Port	3	3	3											
Device 2 TCP/IP Port														
Device 2 RS-485														
														
Device 3 Type	Rotating Manipulator	Rotating Manipulator						AHRSD	AHRSD					
Device 3 Serial Number														
Device 3 Port	6	6												
Device 3 TCP/IP Port														
Device 3 RS-485														
														
Device 4 Type		GPS						Low Light Camera	Low Light Camera					
Device 4 Serial Number														
Device 4 Port		6												
Device 4 TCP/IP Port														
Device 4 RS-485														
														
Device 5 Type								Tritech Micron Scanning Sonar	Tritech Micron Scanning Sonar					
Device 5 Serial Number														
Device 5 Port														
Device 5 TCP/IP Port														
Device 5 RS-485														
														
Device 6 Type														
Device 6 Serial Number														
Device 6 Port														
Device 6 TCP/IP Port														
Device 6 RS-485														
														
Device 7 Type														
Device 7 Serial Number														
Device 7 Port														
Device 7 TCP/IP Port														
Device 7 RS-485														
														
Device 8 Type														
Device 8 Serial Number														
Device 8 Port														
Device 8 TCP/IP Port														
Device 8 RS-485														
														
Device 9 Type														
Device 9 Serial Number														
Device 9 Port														
Device 9 TCP/IP Port														
Device 9 RS-485														
														
Device 10 Type														
Device 10 Serial Number														
Device 10 Port														
Device 10 TCP/IP Port														
Device 10 RS-485														
